line,city,special,kind2,cover,blocks_worked,blocks,svc_wd_hit,miss_cell_pct
000773393,郑州市,False,区块全开·店和星期都有欠,0.694,9,10,0.725,12.1
000774113,太原市,False,区块全开·店和星期都有欠,0.799,5,5,0.777,16.7
000782263,昆明市,False,区块全开·星期照做,0.951,7,7,0.905,0.0
000782275,昆明市,False,区块全开·星期照做,0.96,5,5,0.923,0.0
000782642,惠州市,False,区块全开·星期照做,0.854,11,11,0.864,8.1
000787397,哈尔滨市,True,特殊·换人/归属待查,0.435,10,14,0.195,52.2
000795399,天津市,True,特殊·换人/归属待查,0.244,8,12,0.038,41.9
000796635,呼和浩特市,False,区块全开·店和星期都有欠,0.63,6,6,0.397,4.8
000798424,上海市,False,区块全开·星期照做,0.9,5,5,0.898,0.0
000799013,唐山市,True,特殊·换人/归属待查,0.75,4,6,0.083,25.0
000811058,深圳市,False,区块全开·区块内欠访,0.83,6,6,0.816,7.4
000811371,贵阳市,False,区块全开·星期照做,0.959,6,6,0.929,7.1
000825758,合肥市,False,区块全开·店和星期都有欠,0.537,7,7,0.242,26.5
000825796,南通市,False,区块缺了没开,0.748,8,11,0.54,25.0
000826064,太原市,False,区块缺了没开,0.691,6,7,0.312,16.7
000826911,杭州市,False,区块全开·星期自己定,0.88,4,4,0.762,9.1
000829112,重庆市,False,区块全开·星期自己定,0.837,3,3,0.428,0.0
000837348,重庆市,False,区块全开·星期自己定,0.977,10,10,0.578,5.6
000838047,北京市,False,区块全开·店和星期都有欠,0.48,5,5,0.318,0.0
000838882,重庆市,False,区块全开·星期自己定,0.957,8,8,0.281,0.0
000840245,上海市,False,区块缺了没开,0.679,5,6,0.544,10.0
000843187,苏州市,True,特殊·换人/归属待查,0.0,0,6,0.0,100.0
000844662,成都市,False,区块全开·店和星期都有欠,0.731,3,3,0.552,25.0
000845240,咸阳市,True,特殊·换人/归属待查,0.614,14,19,0.019,34.2
000845597,茂名市,False,区块全开·星期照做,0.976,8,8,0.962,12.5
000846281,合肥市,False,区块全开·店和星期都有欠,0.639,7,7,0.631,10.0
000847598,北京市,False,区块缺了没开,0.508,5,6,0.343,6.2
000847739,石家庄市,False,区块全开·店和星期都有欠,0.746,6,6,0.678,4.3
000851279,北京市,True,特殊·换人/归属待查,0.392,6,7,0.16,11.8
000851281,成都市,False,区块全开·星期照做,1.0,5,5,0.954,0.0
000851283,成都市,False,区块全开·星期照做,1.0,3,3,0.875,0.0
000851322,成都市,False,区块全开·星期照做,1.0,4,4,0.968,0.0
000851717,眉山市,False,区块全开·星期自己定,0.922,24,24,0.652,0.0
000851729,西安市,False,区块全开·星期照做,0.913,10,10,0.864,2.9
000851730,青岛市,False,区块缺了没开,0.472,26,37,0.292,31.9
000851773,深圳市,False,区块全开·星期照做,0.97,5,5,0.94,0.0
000852009,成都市,False,区块全开·星期照做,0.916,5,5,0.902,0.0
000852603,成都市,False,区块全开·星期照做,0.914,5,5,0.874,0.0
000855033,上海市,False,区块缺了没开,0.662,5,6,0.542,12.5
000855364,杭州市,False,区块全开·店和星期都有欠,0.568,5,5,0.503,20.0
000855388,杭州市,False,区块全开·星期照做,0.912,5,5,0.903,8.3
000855395,上海市,False,区块全开·星期自己定,0.929,6,6,0.457,7.7
000855576,上海市,False,区块缺了没开,0.882,5,6,0.665,9.1
000855577,石家庄市,False,区块全开·店和星期都有欠,0.591,5,5,0.297,15.8
000855578,泰州市,False,区块全开·店和星期都有欠,0.447,9,10,0.434,22.2
