line,stores,changed,base_hit,new_hit,cap_L1_old,cap_L1_new,blocks_old,blocks_new,cv_old,cv_new,compact_old,compact_new
000712606,110,4,0.964,0.936,0.101,0.094,8,10,0.738,0.943,0.496,0.557
000712608,43,8,0.837,0.744,0.44,0.513,12,15,1.081,1.232,0.558,0.689
000712667,113,0,0.956,0.956,0.116,0.116,6,6,0.488,0.488,0.369,0.369
000714057,98,7,0.888,0.878,0.536,0.518,25,28,1.264,1.321,1.0,1.0
000714395,77,10,1.0,0.974,0.317,0.269,18,21,1.011,1.105,0.514,0.496
000714922,50,5,0.84,0.76,0.35,0.247,9,11,0.658,0.77,0.397,0.44
000716325,53,0,0.811,0.811,0.214,0.251,8,8,0.704,0.704,0.449,0.449
000716327,98,1,0.969,0.969,0.202,0.202,5,5,0.303,0.29,0.352,0.345
000718160,8,4,0.875,0.75,1.304,0.625,2,4,0.091,0.538,0.297,0.907
000721070,128,24,0.992,0.852,0.146,0.096,5,5,0.128,0.35,0.396,0.272
000724728,81,0,0.593,0.593,0.777,0.777,11,11,1.028,1.028,0.708,0.708
000725968,132,0,1.0,1.0,0.066,0.066,10,10,0.687,0.687,0.335,0.335
000732776,48,7,0.375,0.354,0.285,0.308,6,6,0.474,0.469,0.595,0.471
000733133,70,3,0.271,0.271,0.317,0.317,9,12,0.833,1.105,0.65,0.863
000733235,116,8,0.879,0.845,0.241,0.233,6,8,0.341,0.677,0.204,0.296
000734397,11,0,0.909,0.909,1.139,1.139,3,3,0.6,0.6,0.449,0.449
000734621,95,8,0.916,0.874,0.173,0.145,7,12,0.75,1.223,0.385,0.938
000741130,129,1,1.0,0.992,0.04,0.04,5,5,0.151,0.15,0.406,0.315
000741226,52,14,0.135,0.135,0.271,0.245,9,11,0.818,1.011,0.382,0.595
000765513,62,12,0.984,0.79,0.371,0.258,6,8,0.707,0.775,0.439,0.447
000767735,46,10,0.717,0.717,0.343,0.343,6,9,0.462,0.869,0.475,0.462
000770730,109,4,0.927,0.899,0.248,0.274,11,12,0.598,0.681,0.272,0.316
000771486,121,0,1.0,1.0,0.066,0.066,5,5,0.171,0.171,0.289,0.289
000771641,129,7,1.0,0.984,0.071,0.063,5,7,0.111,0.628,0.597,0.622
000771816,77,2,0.987,0.974,0.234,0.22,11,11,1.189,1.194,0.753,0.716
000772089,119,1,1.0,1.0,0.178,0.17,5,5,0.102,0.113,0.404,0.404
000772527,122,0,0.992,0.992,0.198,0.206,12,12,0.857,0.857,0.381,0.381
000772623,50,16,0.68,0.64,0.287,0.174,9,14,0.926,1.142,0.473,0.618
000772790,66,6,1.0,0.909,0.231,0.231,6,7,0.574,0.734,0.609,0.474
000772796,23,19,0.913,0.783,0.277,0.281,6,7,0.407,0.792,0.35,0.459
000773393,79,10,0.975,0.949,0.241,0.266,10,10,0.993,0.994,0.696,0.697
000774113,105,6,0.981,0.933,0.289,0.267,5,8,0.123,0.75,0.387,0.574
000782263,65,4,0.8,0.785,0.374,0.347,7,7,0.728,0.711,0.307,0.291
000782275,23,3,0.957,0.826,0.797,0.797,5,6,0.925,1.041,0.645,0.639
000782642,140,1,0.943,0.936,0.054,0.062,11,11,0.953,0.951,0.504,0.49
000787397,26,16,0.885,0.923,0.705,0.651,14,14,0.967,1.027,0.566,0.483
000795399,30,21,0.2,0.2,0.341,0.341,12,25,0.871,1.452,0.498,1.0
000796635,84,22,0.845,0.786,0.19,0.19,6,13,0.425,1.136,0.535,0.768
000798424,130,5,0.977,0.938,0.168,0.179,5,5,0.29,0.257,0.302,0.282
000799013,10,3,0.1,0.1,1.088,1.088,6,7,1.237,1.209,1.0,1.0
000811058,113,5,0.973,0.947,0.042,0.049,6,7,0.378,0.575,0.451,0.435
000811371,60,3,0.95,0.917,0.476,0.444,6,8,0.657,0.923,0.243,0.293
000825758,36,28,0.528,0.528,0.374,0.406,7,11,0.545,0.858,0.586,0.738
000825796,107,1,1.0,1.0,0.308,0.3,11,12,0.885,0.968,0.47,0.493
000826064,60,45,0.667,0.5,0.314,0.472,7,7,0.603,0.73,0.276,0.265
000826911,20,1,0.4,0.4,0.658,0.658,4,5,0.346,0.603,0.231,0.271
000829112,33,9,0.97,0.697,1.119,1.004,3,5,0.965,1.296,0.356,0.513
000837348,83,53,0.711,0.554,0.373,0.495,10,12,0.893,0.744,0.553,0.521
